epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1804.27,1.40606,1.02006,0.92176,0.41119,0.31649,0.30899,0.17899,1.3775,1.01457,0.91722,0.005743,0.005743,0.005743
45,1844.96,1.39704,1.01101,0.921,0.42532,0.31664,0.31704,0.18227,1.37406,1.01238,0.91627,0.005644,0.005644,0.005644
46,1885.91,1.40432,1.0122,0.922,0.41232,0.3203,0.31646,0.18284,1.37493,1.01659,0.91524,0.005545,0.005545,0.005545
47,1926.87,1.397,1.00993,0.921,0.42557,0.32022,0.31827,0.18409,1.37207,1.01131,0.91616,0.005446,0.005446,0.005446
48,1967.26,1.39734,1.01019,0.92038,0.41093,0.3207,0.31761,0.18343,1.37177,1.0085,0.91548,0.005347,0.005347,0.005347
49,2007.79,1.39199,1.00504,0.91886,0.43811,0.31435,0.32044,0.18501,1.37035,1.00792,0.91528,0.005248,0.005248,0.005248
50,2048.5,1.3871,1.00299,0.92007,0.42241,0.31684,0.32008,0.18476,1.36724,1.00994,0.91459,0.005149,0.005149,0.005149
51,2089.08,1.38636,1.00075,0.91789,0.41367,0.32366,0.31833,0.18269,1.3687,1.00193,0.91501,0.00505,0.00505,0.00505
52,2129.56,1.38483,0.99509,0.91797,0.41554,0.32045,0.31607,0.18249,1.36289,1.00112,0.91295,0.004951,0.004951,0.004951
53,2170.3,1.38677,0.99667,0.91901,0.41755,0.32273,0.31645,0.18338,1.36795,1.00823,0.91488,0.004852,0.004852,0.004852
54,2212.14,1.38446,0.99287,0.91644,0.42951,0.31809,0.31922,0.18496,1.36597,1.00389,0.91467,0.004753,0.004753,0.004753
55,2254,1.3769,0.98608,0.91693,0.42226,0.32242,0.32332,0.18697,1.36408,0.99904,0.91334,0.004654,0.004654,0.004654
56,2295.82,1.37983,0.98312,0.91448,0.42001,0.32101,0.31854,0.1847,1.36351,1.00047,0.91326,0.004555,0.004555,0.004555
57,2338.26,1.3737,0.98257,0.91444,0.4175,0.31916,0.31841,0.18524,1.35742,0.99503,0.91105,0.004456,0.004456,0.004456
58,2380.16,1.36761,0.97492,0.9145,0.42116,0.32772,0.32233,0.18604,1.35829,0.9944,0.9131,0.004357,0.004357,0.004357
59,2422.13,1.36925,0.9766,0.91425,0.42798,0.32099,0.32395,0.18797,1.35868,0.99094,0.91222,0.004258,0.004258,0.004258
60,2464.45,1.37185,0.98018,0.91356,0.4269,0.32659,0.32534,0.18758,1.35538,0.99157,0.91074,0.004159,0.004159,0.004159
61,2505.99,1.36537,0.97235,0.91388,0.42662,0.32718,0.3245,0.18836,1.35401,0.99185,0.91066,0.00406,0.00406,0.00406
62,2547.56,1.36615,0.97367,0.91307,0.43503,0.32095,0.32371,0.18709,1.36001,0.98929,0.91228,0.003961,0.003961,0.003961
63,2588.87,1.36009,0.96653,0.91262,0.43995,0.31924,0.32521,0.18816,1.35566,0.99029,0.91238,0.003862,0.003862,0.003862
64,2630.04,1.36279,0.9677,0.91323,0.43145,0.31943,0.32357,0.18665,1.35977,0.98846,0.91343,0.003763,0.003763,0.003763
65,2671.12,1.36071,0.96243,0.9106,0.42363,0.32871,0.3266,0.18782,1.35622,0.986,0.9116,0.003664,0.003664,0.003664
66,2712.47,1.35993,0.96265,0.91239,0.43929,0.32085,0.3285,0.19073,1.35059,0.98526,0.91037,0.003565,0.003565,0.003565
67,2753.52,1.3603,0.96057,0.91144,0.43646,0.32569,0.32719,0.18943,1.34737,0.98168,0.90991,0.003466,0.003466,0.003466
68,2794.71,1.35792,0.95617,0.90982,0.43575,0.32869,0.32947,0.19115,1.34902,0.98148,0.90947,0.003367,0.003367,0.003367
